scenario_id,original_keys,renamed_keys,equivariant
case-3551,"['m-case-3551-target', 'm-case-3551-condition', 'm-case-3551-distractor']","['m-case-3551-target_renamed_val', 'm-case-3551-condition_renamed_val', 'm-case-3551-distractor_renamed_val']",1
case-3552,"['m-case-3552-target', 'm-case-3552-condition', 'm-case-3552-distractor']","['m-case-3552-target_renamed_val', 'm-case-3552-condition_renamed_val', 'm-case-3552-distractor_renamed_val']",1
case-3553,"['m-case-3553-target', 'm-case-3553-condition', 'm-case-3553-distractor']","['m-case-3553-target_renamed_val', 'm-case-3553-condition_renamed_val', 'm-case-3553-distractor_renamed_val']",1
case-3554,"['m-case-3554-target', 'm-case-3554-condition', 'm-case-3554-distractor']","['m-case-3554-target_renamed_val', 'm-case-3554-condition_renamed_val', 'm-case-3554-distractor_renamed_val']",1
case-3555,"['m-case-3555-target', 'm-case-3555-condition', 'm-case-3555-distractor']","['m-case-3555-target_renamed_val', 'm-case-3555-condition_renamed_val', 'm-case-3555-distractor_renamed_val']",1
case-3556,"['m-case-3556-target', 'm-case-3556-condition', 'm-case-3556-distractor']","['m-case-3556-target_renamed_val', 'm-case-3556-condition_renamed_val', 'm-case-3556-distractor_renamed_val']",1
case-3557,"['m-case-3557-target', 'm-case-3557-condition', 'm-case-3557-distractor']","['m-case-3557-target_renamed_val', 'm-case-3557-condition_renamed_val', 'm-case-3557-distractor_renamed_val']",1
case-3558,"['m-case-3558-target', 'm-case-3558-condition', 'm-case-3558-distractor']","['m-case-3558-target_renamed_val', 'm-case-3558-condition_renamed_val', 'm-case-3558-distractor_renamed_val']",1
case-3559,"['m-case-3559-target', 'm-case-3559-condition', 'm-case-3559-distractor']","['m-case-3559-target_renamed_val', 'm-case-3559-condition_renamed_val', 'm-case-3559-distractor_renamed_val']",1
case-3560,"['m-case-3560-target', 'm-case-3560-condition', 'm-case-3560-distractor']","['m-case-3560-target_renamed_val', 'm-case-3560-condition_renamed_val', 'm-case-3560-distractor_renamed_val']",1
case-3561,"['m-case-3561-target', 'm-case-3561-condition', 'm-case-3561-distractor']","['m-case-3561-target_renamed_val', 'm-case-3561-condition_renamed_val', 'm-case-3561-distractor_renamed_val']",1
case-3562,"['m-case-3562-target', 'm-case-3562-condition', 'm-case-3562-distractor']","['m-case-3562-target_renamed_val', 'm-case-3562-condition_renamed_val', 'm-case-3562-distractor_renamed_val']",1
case-3563,"['m-case-3563-target', 'm-case-3563-condition', 'm-case-3563-distractor']","['m-case-3563-target_renamed_val', 'm-case-3563-condition_renamed_val', 'm-case-3563-distractor_renamed_val']",1
case-3564,"['m-case-3564-target', 'm-case-3564-condition', 'm-case-3564-distractor']","['m-case-3564-target_renamed_val', 'm-case-3564-condition_renamed_val', 'm-case-3564-distractor_renamed_val']",1
case-3565,"['m-case-3565-target', 'm-case-3565-condition', 'm-case-3565-distractor']","['m-case-3565-target_renamed_val', 'm-case-3565-condition_renamed_val', 'm-case-3565-distractor_renamed_val']",1
case-3566,"['m-case-3566-target', 'm-case-3566-condition', 'm-case-3566-distractor']","['m-case-3566-target_renamed_val', 'm-case-3566-condition_renamed_val', 'm-case-3566-distractor_renamed_val']",1
case-3567,"['m-case-3567-target', 'm-case-3567-condition', 'm-case-3567-distractor']","['m-case-3567-target_renamed_val', 'm-case-3567-condition_renamed_val', 'm-case-3567-distractor_renamed_val']",1
case-3568,"['m-case-3568-target', 'm-case-3568-condition', 'm-case-3568-distractor']","['m-case-3568-target_renamed_val', 'm-case-3568-condition_renamed_val', 'm-case-3568-distractor_renamed_val']",1
case-3569,"['m-case-3569-target', 'm-case-3569-condition', 'm-case-3569-distractor']","['m-case-3569-target_renamed_val', 'm-case-3569-condition_renamed_val', 'm-case-3569-distractor_renamed_val']",1
case-3570,"['m-case-3570-target', 'm-case-3570-condition', 'm-case-3570-distractor']","['m-case-3570-target_renamed_val', 'm-case-3570-condition_renamed_val', 'm-case-3570-distractor_renamed_val']",1
case-3571,"['m-case-3571-target', 'm-case-3571-condition', 'm-case-3571-distractor']","['m-case-3571-target_renamed_val', 'm-case-3571-condition_renamed_val', 'm-case-3571-distractor_renamed_val']",1
case-3572,"['m-case-3572-target', 'm-case-3572-condition', 'm-case-3572-distractor']","['m-case-3572-target_renamed_val', 'm-case-3572-condition_renamed_val', 'm-case-3572-distractor_renamed_val']",1
case-3573,"['m-case-3573-target', 'm-case-3573-condition', 'm-case-3573-distractor']","['m-case-3573-target_renamed_val', 'm-case-3573-condition_renamed_val', 'm-case-3573-distractor_renamed_val']",1
case-3574,"['m-case-3574-target', 'm-case-3574-condition', 'm-case-3574-distractor']","['m-case-3574-target_renamed_val', 'm-case-3574-condition_renamed_val', 'm-case-3574-distractor_renamed_val']",1
case-3575,"['m-case-3575-target', 'm-case-3575-condition', 'm-case-3575-distractor']","['m-case-3575-target_renamed_val', 'm-case-3575-condition_renamed_val', 'm-case-3575-distractor_renamed_val']",1
case-3576,"['m-case-3576-target', 'm-case-3576-condition', 'm-case-3576-distractor']","['m-case-3576-target_renamed_val', 'm-case-3576-condition_renamed_val', 'm-case-3576-distractor_renamed_val']",1
case-3577,"['m-case-3577-target', 'm-case-3577-condition', 'm-case-3577-distractor']","['m-case-3577-target_renamed_val', 'm-case-3577-condition_renamed_val', 'm-case-3577-distractor_renamed_val']",1
case-3578,"['m-case-3578-target', 'm-case-3578-condition', 'm-case-3578-distractor']","['m-case-3578-target_renamed_val', 'm-case-3578-condition_renamed_val', 'm-case-3578-distractor_renamed_val']",1
case-3579,"['m-case-3579-target', 'm-case-3579-condition', 'm-case-3579-distractor']","['m-case-3579-target_renamed_val', 'm-case-3579-condition_renamed_val', 'm-case-3579-distractor_renamed_val']",1
case-3580,"['m-case-3580-target', 'm-case-3580-condition', 'm-case-3580-distractor']","['m-case-3580-target_renamed_val', 'm-case-3580-condition_renamed_val', 'm-case-3580-distractor_renamed_val']",1
case-3581,"['m-case-3581-target', 'm-case-3581-condition', 'm-case-3581-distractor']","['m-case-3581-target_renamed_val', 'm-case-3581-condition_renamed_val', 'm-case-3581-distractor_renamed_val']",1
case-3582,"['m-case-3582-target', 'm-case-3582-condition', 'm-case-3582-distractor']","['m-case-3582-target_renamed_val', 'm-case-3582-condition_renamed_val', 'm-case-3582-distractor_renamed_val']",1
case-3583,"['m-case-3583-target', 'm-case-3583-condition', 'm-case-3583-distractor']","['m-case-3583-target_renamed_val', 'm-case-3583-condition_renamed_val', 'm-case-3583-distractor_renamed_val']",1
case-3584,"['m-case-3584-target', 'm-case-3584-condition', 'm-case-3584-distractor']","['m-case-3584-target_renamed_val', 'm-case-3584-condition_renamed_val', 'm-case-3584-distractor_renamed_val']",1
case-3585,"['m-case-3585-target', 'm-case-3585-condition', 'm-case-3585-distractor']","['m-case-3585-target_renamed_val', 'm-case-3585-condition_renamed_val', 'm-case-3585-distractor_renamed_val']",1
case-3586,"['m-case-3586-target', 'm-case-3586-condition', 'm-case-3586-distractor']","['m-case-3586-target_renamed_val', 'm-case-3586-condition_renamed_val', 'm-case-3586-distractor_renamed_val']",1
case-3587,"['m-case-3587-target', 'm-case-3587-condition', 'm-case-3587-distractor']","['m-case-3587-target_renamed_val', 'm-case-3587-condition_renamed_val', 'm-case-3587-distractor_renamed_val']",1
case-3588,"['m-case-3588-target', 'm-case-3588-condition', 'm-case-3588-distractor']","['m-case-3588-target_renamed_val', 'm-case-3588-condition_renamed_val', 'm-case-3588-distractor_renamed_val']",1
case-3589,"['m-case-3589-target', 'm-case-3589-condition', 'm-case-3589-distractor']","['m-case-3589-target_renamed_val', 'm-case-3589-condition_renamed_val', 'm-case-3589-distractor_renamed_val']",1
case-3590,"['m-case-3590-target', 'm-case-3590-condition', 'm-case-3590-distractor']","['m-case-3590-target_renamed_val', 'm-case-3590-condition_renamed_val', 'm-case-3590-distractor_renamed_val']",1
case-3591,"['m-case-3591-target', 'm-case-3591-condition', 'm-case-3591-distractor']","['m-case-3591-target_renamed_val', 'm-case-3591-condition_renamed_val', 'm-case-3591-distractor_renamed_val']",1
case-3592,"['m-case-3592-target', 'm-case-3592-condition', 'm-case-3592-distractor']","['m-case-3592-target_renamed_val', 'm-case-3592-condition_renamed_val', 'm-case-3592-distractor_renamed_val']",1
case-3593,"['m-case-3593-target', 'm-case-3593-condition', 'm-case-3593-distractor']","['m-case-3593-target_renamed_val', 'm-case-3593-condition_renamed_val', 'm-case-3593-distractor_renamed_val']",1
case-3594,"['m-case-3594-target', 'm-case-3594-condition', 'm-case-3594-distractor']","['m-case-3594-target_renamed_val', 'm-case-3594-condition_renamed_val', 'm-case-3594-distractor_renamed_val']",1
case-3595,"['m-case-3595-target', 'm-case-3595-condition', 'm-case-3595-distractor']","['m-case-3595-target_renamed_val', 'm-case-3595-condition_renamed_val', 'm-case-3595-distractor_renamed_val']",1
case-3596,"['m-case-3596-target', 'm-case-3596-condition', 'm-case-3596-distractor']","['m-case-3596-target_renamed_val', 'm-case-3596-condition_renamed_val', 'm-case-3596-distractor_renamed_val']",1
case-3597,"['m-case-3597-target', 'm-case-3597-condition', 'm-case-3597-distractor']","['m-case-3597-target_renamed_val', 'm-case-3597-condition_renamed_val', 'm-case-3597-distractor_renamed_val']",1
case-3598,"['m-case-3598-target', 'm-case-3598-condition', 'm-case-3598-distractor']","['m-case-3598-target_renamed_val', 'm-case-3598-condition_renamed_val', 'm-case-3598-distractor_renamed_val']",1
case-3599,"['m-case-3599-target', 'm-case-3599-condition', 'm-case-3599-distractor']","['m-case-3599-target_renamed_val', 'm-case-3599-condition_renamed_val', 'm-case-3599-distractor_renamed_val']",1
case-3600,"['m-case-3600-target', 'm-case-3600-condition', 'm-case-3600-distractor']","['m-case-3600-target_renamed_val', 'm-case-3600-condition_renamed_val', 'm-case-3600-distractor_renamed_val']",1
case-3601,"['m-case-3601-target', 'm-case-3601-condition', 'm-case-3601-distractor']","['m-case-3601-target_renamed_val', 'm-case-3601-condition_renamed_val', 'm-case-3601-distractor_renamed_val']",1
case-3602,"['m-case-3602-target', 'm-case-3602-condition', 'm-case-3602-distractor']","['m-case-3602-target_renamed_val', 'm-case-3602-condition_renamed_val', 'm-case-3602-distractor_renamed_val']",1
case-3603,"['m-case-3603-target', 'm-case-3603-condition', 'm-case-3603-distractor']","['m-case-3603-target_renamed_val', 'm-case-3603-condition_renamed_val', 'm-case-3603-distractor_renamed_val']",1
case-3604,"['m-case-3604-target', 'm-case-3604-condition', 'm-case-3604-distractor']","['m-case-3604-target_renamed_val', 'm-case-3604-condition_renamed_val', 'm-case-3604-distractor_renamed_val']",1
case-3605,"['m-case-3605-target', 'm-case-3605-condition', 'm-case-3605-distractor']","['m-case-3605-target_renamed_val', 'm-case-3605-condition_renamed_val', 'm-case-3605-distractor_renamed_val']",1
case-3606,"['m-case-3606-target', 'm-case-3606-condition', 'm-case-3606-distractor']","['m-case-3606-target_renamed_val', 'm-case-3606-condition_renamed_val', 'm-case-3606-distractor_renamed_val']",1
case-3607,"['m-case-3607-target', 'm-case-3607-condition', 'm-case-3607-distractor']","['m-case-3607-target_renamed_val', 'm-case-3607-condition_renamed_val', 'm-case-3607-distractor_renamed_val']",1
case-3608,"['m-case-3608-target', 'm-case-3608-condition', 'm-case-3608-distractor']","['m-case-3608-target_renamed_val', 'm-case-3608-condition_renamed_val', 'm-case-3608-distractor_renamed_val']",1
case-3609,"['m-case-3609-target', 'm-case-3609-condition', 'm-case-3609-distractor']","['m-case-3609-target_renamed_val', 'm-case-3609-condition_renamed_val', 'm-case-3609-distractor_renamed_val']",1
case-3610,"['m-case-3610-target', 'm-case-3610-condition', 'm-case-3610-distractor']","['m-case-3610-target_renamed_val', 'm-case-3610-condition_renamed_val', 'm-case-3610-distractor_renamed_val']",1
case-3611,"['m-case-3611-target', 'm-case-3611-condition', 'm-case-3611-distractor']","['m-case-3611-target_renamed_val', 'm-case-3611-condition_renamed_val', 'm-case-3611-distractor_renamed_val']",1
case-3612,"['m-case-3612-target', 'm-case-3612-condition', 'm-case-3612-distractor']","['m-case-3612-target_renamed_val', 'm-case-3612-condition_renamed_val', 'm-case-3612-distractor_renamed_val']",1
case-3613,"['m-case-3613-target', 'm-case-3613-condition', 'm-case-3613-distractor']","['m-case-3613-target_renamed_val', 'm-case-3613-condition_renamed_val', 'm-case-3613-distractor_renamed_val']",1
case-3614,"['m-case-3614-target', 'm-case-3614-condition', 'm-case-3614-distractor']","['m-case-3614-target_renamed_val', 'm-case-3614-condition_renamed_val', 'm-case-3614-distractor_renamed_val']",1
case-3615,"['m-case-3615-target', 'm-case-3615-condition', 'm-case-3615-distractor']","['m-case-3615-target_renamed_val', 'm-case-3615-condition_renamed_val', 'm-case-3615-distractor_renamed_val']",1
case-3616,"['m-case-3616-target', 'm-case-3616-condition', 'm-case-3616-distractor']","['m-case-3616-target_renamed_val', 'm-case-3616-condition_renamed_val', 'm-case-3616-distractor_renamed_val']",1
case-3617,"['m-case-3617-target', 'm-case-3617-condition', 'm-case-3617-distractor']","['m-case-3617-target_renamed_val', 'm-case-3617-condition_renamed_val', 'm-case-3617-distractor_renamed_val']",1
case-3618,"['m-case-3618-target', 'm-case-3618-condition', 'm-case-3618-distractor']","['m-case-3618-target_renamed_val', 'm-case-3618-condition_renamed_val', 'm-case-3618-distractor_renamed_val']",1
case-3619,"['m-case-3619-target', 'm-case-3619-condition', 'm-case-3619-distractor']","['m-case-3619-target_renamed_val', 'm-case-3619-condition_renamed_val', 'm-case-3619-distractor_renamed_val']",1
case-3620,"['m-case-3620-target', 'm-case-3620-condition', 'm-case-3620-distractor']","['m-case-3620-target_renamed_val', 'm-case-3620-condition_renamed_val', 'm-case-3620-distractor_renamed_val']",1
case-3621,"['m-case-3621-target', 'm-case-3621-condition', 'm-case-3621-distractor']","['m-case-3621-target_renamed_val', 'm-case-3621-condition_renamed_val', 'm-case-3621-distractor_renamed_val']",1
case-3622,"['m-case-3622-target', 'm-case-3622-condition', 'm-case-3622-distractor']","['m-case-3622-target_renamed_val', 'm-case-3622-condition_renamed_val', 'm-case-3622-distractor_renamed_val']",1
case-3623,"['m-case-3623-target', 'm-case-3623-condition', 'm-case-3623-distractor']","['m-case-3623-target_renamed_val', 'm-case-3623-condition_renamed_val', 'm-case-3623-distractor_renamed_val']",1
case-3624,"['m-case-3624-target', 'm-case-3624-condition', 'm-case-3624-distractor']","['m-case-3624-target_renamed_val', 'm-case-3624-condition_renamed_val', 'm-case-3624-distractor_renamed_val']",1
case-3625,"['m-case-3625-target', 'm-case-3625-condition', 'm-case-3625-distractor']","['m-case-3625-target_renamed_val', 'm-case-3625-condition_renamed_val', 'm-case-3625-distractor_renamed_val']",1
case-3626,"['m-case-3626-target', 'm-case-3626-condition', 'm-case-3626-distractor']","['m-case-3626-target_renamed_val', 'm-case-3626-condition_renamed_val', 'm-case-3626-distractor_renamed_val']",1
case-3627,"['m-case-3627-target', 'm-case-3627-condition', 'm-case-3627-distractor']","['m-case-3627-target_renamed_val', 'm-case-3627-condition_renamed_val', 'm-case-3627-distractor_renamed_val']",1
case-3628,"['m-case-3628-target', 'm-case-3628-condition', 'm-case-3628-distractor']","['m-case-3628-target_renamed_val', 'm-case-3628-condition_renamed_val', 'm-case-3628-distractor_renamed_val']",1
case-3629,"['m-case-3629-target', 'm-case-3629-condition', 'm-case-3629-distractor']","['m-case-3629-target_renamed_val', 'm-case-3629-condition_renamed_val', 'm-case-3629-distractor_renamed_val']",1
case-3630,"['m-case-3630-target', 'm-case-3630-condition', 'm-case-3630-distractor']","['m-case-3630-target_renamed_val', 'm-case-3630-condition_renamed_val', 'm-case-3630-distractor_renamed_val']",1
case-3631,"['m-case-3631-target', 'm-case-3631-condition', 'm-case-3631-distractor']","['m-case-3631-target_renamed_val', 'm-case-3631-condition_renamed_val', 'm-case-3631-distractor_renamed_val']",1
case-3632,"['m-case-3632-target', 'm-case-3632-condition', 'm-case-3632-distractor']","['m-case-3632-target_renamed_val', 'm-case-3632-condition_renamed_val', 'm-case-3632-distractor_renamed_val']",1
case-3633,"['m-case-3633-target', 'm-case-3633-condition', 'm-case-3633-distractor']","['m-case-3633-target_renamed_val', 'm-case-3633-condition_renamed_val', 'm-case-3633-distractor_renamed_val']",1
case-3634,"['m-case-3634-target', 'm-case-3634-condition', 'm-case-3634-distractor']","['m-case-3634-target_renamed_val', 'm-case-3634-condition_renamed_val', 'm-case-3634-distractor_renamed_val']",1
case-3635,"['m-case-3635-target', 'm-case-3635-condition', 'm-case-3635-distractor']","['m-case-3635-target_renamed_val', 'm-case-3635-condition_renamed_val', 'm-case-3635-distractor_renamed_val']",1
case-3636,"['m-case-3636-target', 'm-case-3636-condition', 'm-case-3636-distractor']","['m-case-3636-target_renamed_val', 'm-case-3636-condition_renamed_val', 'm-case-3636-distractor_renamed_val']",1
case-3637,"['m-case-3637-target', 'm-case-3637-condition', 'm-case-3637-distractor']","['m-case-3637-target_renamed_val', 'm-case-3637-condition_renamed_val', 'm-case-3637-distractor_renamed_val']",1
case-3638,"['m-case-3638-target', 'm-case-3638-condition', 'm-case-3638-distractor']","['m-case-3638-target_renamed_val', 'm-case-3638-condition_renamed_val', 'm-case-3638-distractor_renamed_val']",1
case-3639,"['m-case-3639-target', 'm-case-3639-condition', 'm-case-3639-distractor']","['m-case-3639-target_renamed_val', 'm-case-3639-condition_renamed_val', 'm-case-3639-distractor_renamed_val']",1
case-3640,"['m-case-3640-target', 'm-case-3640-condition', 'm-case-3640-distractor']","['m-case-3640-target_renamed_val', 'm-case-3640-condition_renamed_val', 'm-case-3640-distractor_renamed_val']",1
case-3641,"['m-case-3641-target', 'm-case-3641-condition', 'm-case-3641-distractor']","['m-case-3641-target_renamed_val', 'm-case-3641-condition_renamed_val', 'm-case-3641-distractor_renamed_val']",1
case-3642,"['m-case-3642-target', 'm-case-3642-condition', 'm-case-3642-distractor']","['m-case-3642-target_renamed_val', 'm-case-3642-condition_renamed_val', 'm-case-3642-distractor_renamed_val']",1
